#    Z       m        H              D           He3            He4          C12         C13P          N14P          O16            Mrem     C13           N14
  0.0004    4.63   -0.853E-01   -0.373E-04   -0.195E-04    0.727E-01    0.897E-03    0.166E-03    0.114E-01      0.389E-03       1.03    0.427E-05    0.168E-03
  0.0004    5.07   -0.116E+00   -0.379E-04   -0.174E-04    0.104E+00    0.854E-03    0.182E-03    0.125E-01      0.426E-03       1.07    0.496E-05    0.202E-03
  0.0004    5.56   -0.852E-01   -0.377E-04   -0.497E-05    0.783E-01    0.341E-03    0.793E-04    0.545E-02      0.140E-03       1.19    0.346E-05    0.199E-03
  0.0004    6.09   -0.639E-01   -0.378E-04    0.396E-05    0.643E-01   -0.472E-04    0.000E+00    0.000E+00     -0.801E-04       1.30    0.231E-05    0.195E-03
  0.0004    6.67   -0.832E-01   -0.386E-04   -0.109E-06    0.851E-01   -0.448E-04    0.000E+00    0.000E+00     -0.653E-04       1.30    0.236E-05    0.177E-03
  0.0004    7.30   -0.101E+00   -0.395E-04   -0.397E-05    0.104E+00   -0.362E-04    0.000E+00    0.000E+00     -0.518E-04       1.30    0.240E-05    0.161E-03
  0.0004    8.00   -0.118E+00   -0.402E-04   -0.754E-05    0.121E+00   -0.284E-04    0.000E+00    0.000E+00     -0.394E-04       1.30    0.244E-05    0.148E-03
  0.0040    0.82    0.387E-02   -0.135E-04    0.553E-03    0.116E-02   -0.146E-04    0.000E+00    0.000E+00     -0.167E-03       0.59    0.312E-05   -0.104E-04
  0.0040    0.90   -0.202E-02   -0.160E-04    0.553E-03   -0.199E-03   -0.256E-04    0.000E+00    0.000E+00     -0.207E-03       0.60    0.414E-05   -0.922E-05
  0.0040    0.98    0.631E-02   -0.181E-04    0.602E-03    0.265E-02   -0.286E-04    0.000E+00    0.000E+00     -0.223E-03       0.61    0.515E-05   -0.388E-05
  0.0040    1.08   -0.246E-02   -0.204E-04    0.543E-03    0.462E-03   -0.472E-04    0.000E+00    0.000E+00     -0.263E-03       0.62    0.601E-05    0.444E-05
  0.0040    1.18   -0.890E-02   -0.224E-04    0.440E-03    0.484E-02    0.188E-02    0.000E+00    0.000E+00     -0.128E-03       0.63    0.694E-05    0.195E-04
  0.0040    1.29   -0.374E-01   -0.246E-04    0.384E-03    0.286E-01    0.118E-01    0.000E+00    0.000E+00      0.670E-03       0.63    0.695E-05    0.169E-04
  0.0040    1.42   -0.643E-01   -0.264E-04    0.328E-03    0.419E-01    0.182E-01    0.000E+00    0.000E+00      0.117E-02       0.64    0.696E-05    0.186E-04
  0.0040    1.55   -0.781E-01   -0.276E-04    0.267E-03    0.552E-01    0.231E-01    0.000E+00    0.000E+00      0.156E-02       0.66    0.727E-05    0.414E-04
  0.0040    1.70   -0.995E-01   -0.285E-04    0.195E-03    0.684E-01    0.292E-01    0.000E+00    0.000E+00      0.204E-02       0.69    0.687E-05    0.552E-04
  0.0040    1.86   -0.115E+00   -0.294E-04    0.160E-03    0.786E-01    0.333E-01    0.000E+00    0.000E+00      0.236E-02       0.72    0.648E-05    0.705E-04
  0.0040    2.04   -0.121E+00   -0.301E-04    0.132E-03    0.852E-01    0.356E-01    0.000E+00    0.000E+00      0.252E-02       0.76    0.655E-05    0.850E-04
  0.0040    2.23   -0.124E+00   -0.312E-04    0.111E-03    0.864E-01    0.355E-01    0.000E+00    0.000E+00      0.247E-02       0.78    0.686E-05    0.116E-03
  0.0040    2.45   -0.118E+00   -0.323E-04    0.956E-04    0.805E-01    0.328E-01    0.000E+00    0.000E+00      0.222E-02       0.80    0.749E-05    0.144E-03
  0.0040    2.68   -0.106E+00   -0.324E-04    0.819E-04    0.745E-01    0.297E-01    0.000E+00    0.000E+00      0.197E-02       0.87    0.128E-04    0.158E-03
  0.0040    2.94   -0.946E-01   -0.325E-04    0.695E-04    0.667E-01    0.266E-01    0.000E+00    0.000E+00      0.171E-02       0.95    0.190E-04    0.165E-03
  0.0040    3.22   -0.757E-01   -0.334E-04    0.320E-04    0.524E-01    0.168E-01    0.966E-03    0.342E-02      0.118E-02       0.98    0.871E-04    0.255E-05
  0.0040    3.52   -0.516E-01   -0.344E-04   -0.738E-05    0.391E-01    0.622E-02    0.196E-02    0.747E-02      0.621E-03       1.00    0.154E-03   -0.140E-03
  0.0040    3.86   -0.529E-01   -0.356E-04   -0.159E-04    0.398E-01    0.202E-02    0.648E-03    0.961E-02      0.246E-03       1.00    0.476E-04    0.402E-03
  0.0040    4.23   -0.548E-01   -0.365E-04   -0.195E-04    0.460E-01    0.361E-03    0.144E-03    0.898E-02     -0.111E-03       1.01    0.796E-05    0.660E-03
  0.0040    4.63   -0.678E-01   -0.373E-04   -0.200E-04    0.601E-01    0.240E-03    0.122E-03    0.778E-02     -0.374E-03       1.03    0.795E-05    0.756E-03
  0.0040    5.07   -0.884E-01   -0.380E-04   -0.180E-04    0.817E-01    0.208E-03    0.120E-03    0.779E-02     -0.424E-03       1.06    0.101E-04    0.812E-03
  0.0040    5.56   -0.707E-01   -0.378E-04   -0.378E-05    0.667E-01    0.867E-04    0.522E-04    0.340E-02     -0.181E-03       1.18    0.173E-04    0.699E-03
  0.0040    6.09   -0.587E-01   -0.378E-04    0.658E-05    0.586E-01   -0.558E-05    0.000E+00    0.000E+00      0.512E-05       1.30    0.231E-04    0.627E-03
  0.0040    6.67   -0.792E-01   -0.386E-04    0.199E-05    0.795E-01   -0.213E-04    0.000E+00    0.000E+00     -0.414E-04       1.30    0.236E-04    0.700E-03
  0.0040    7.30   -0.968E-01   -0.395E-04   -0.205E-05    0.987E-01   -0.342E-04    0.000E+00    0.000E+00     -0.836E-04       1.30    0.240E-04    0.770E-03
  0.0040    8.00   -0.115E+00   -0.402E-04   -0.579E-05    0.115E+00   -0.475E-04    0.000E+00    0.000E+00     -0.128E-03       1.30    0.244E-04    0.831E-03
  0.0080    0.82    0.893E-03   -0.146E-04    0.574E-03    0.228E-02   -0.378E-04    0.000E+00    0.000E+00     -0.368E-03       0.57    0.662E-05   -0.226E-04
  0.0080    0.90   -0.648E-03   -0.171E-04    0.680E-03    0.249E-02   -0.467E-04    0.000E+00    0.000E+00     -0.432E-03       0.58    0.742E-05   -0.220E-04
  0.0080    0.98    0.249E-02   -0.201E-04    0.726E-03    0.392E-02   -0.561E-04    0.000E+00    0.000E+00     -0.498E-03       0.57    0.103E-04   -0.178E-04
  0.0080    1.08   -0.728E-02   -0.227E-04    0.659E-03    0.878E-03   -0.954E-04    0.000E+00    0.000E+00     -0.597E-03       0.57    0.121E-04   -0.593E-05
  0.0080    1.18   -0.213E-02   -0.240E-04    0.575E-03    0.359E-02   -0.116E-03    0.000E+00    0.000E+00     -0.610E-03       0.59    0.143E-04    0.207E-04
  0.0080    1.29   -0.839E-02   -0.257E-04    0.443E-03    0.879E-02    0.223E-02    0.000E+00    0.000E+00     -0.468E-03       0.60    0.162E-04    0.569E-04
  0.0080    1.42   -0.175E-01   -0.274E-04    0.405E-03    0.108E-01    0.391E-02    0.000E+00    0.000E+00     -0.399E-03       0.61    0.173E-04    0.751E-04
  0.0080    1.55   -0.256E-01   -0.288E-04    0.332E-03    0.214E-01    0.715E-02    0.000E+00    0.000E+00     -0.187E-03       0.62    0.189E-04    0.148E-03
