#    Z       m        H              D           He3            He4          C12                 O16            Ne20       Mg24          Si28        S32           Ca40         Fe56         Mrem     C13s           N14s
  0.0040   13.00   -0.135E+00   -0.424E-04   -0.164E-04    0.100E+00    0.695E-02    0.130E-01    0.262E-02    0.122E-02    0.451E-02    0.161E-02    0.168E-03    0.240E-02    1.49    0.101E-04    0.553E-03
  0.0040   14.00   -0.143E+00   -0.426E-04   -0.169E-04    0.976E-01    0.918E-02    0.189E-01    0.214E-02    0.219E-02    0.558E-02    0.179E-02    0.203E-03    0.226E-02    1.55    0.997E-05    0.526E-03
  0.0040   15.00   -0.150E+00   -0.427E-04   -0.173E-04    0.959E-01    0.111E-01    0.233E-01    0.224E-02    0.279E-02    0.641E-02    0.206E-02    0.245E-03    0.250E-02    1.61    0.975E-05    0.510E-03
  0.0040   16.00   -0.161E+00   -0.430E-04   -0.178E-04    0.950E-01    0.128E-01    0.300E-01    0.650E-02    0.307E-02    0.672E-02    0.223E-02    0.260E-03    0.165E-02    1.63    0.102E-04    0.477E-03
  0.0040   17.00   -0.171E+00   -0.432E-04   -0.181E-04    0.931E-01    0.133E-01    0.357E-01    0.110E-01    0.375E-02    0.638E-02    0.215E-02    0.264E-03    0.171E-02    1.65    0.960E-05    0.466E-03
  0.0040   20.00   -0.195E+00   -0.438E-04   -0.190E-04    0.884E-01    0.149E-01    0.519E-01    0.221E-01    0.554E-02    0.580E-02    0.218E-02    0.269E-03    0.392E-03    1.71    0.912E-05    0.409E-03
  0.0040   25.00   -0.531E+00   -0.448E-04   -0.203E-04    0.779E-01    0.184E-01    0.844E-01    0.299E-01    0.452E-02    0.666E-02    0.241E-02    0.266E-03    0.877E-03    1.62    0.384E-04    0.758E-03
  0.0040   30.00   -0.529E+00   -0.449E-04   -0.208E-04    0.748E-01    0.241E-01    0.106E+00    0.192E-01    0.518E-02    0.104E-01    0.411E-02    0.502E-03    0.439E-03    1.86    0.151E-04    0.864E-03
  0.0040   35.00   -0.368E+00   -0.455E-04   -0.214E-04    0.680E-01    0.215E-01    0.127E+00    0.414E-01    0.634E-02    0.510E-02    0.212E-02    0.247E-03    0.277E-03    1.75    0.266E-04    0.126E-02
  0.0040   40.00   -0.350E+00   -0.456E-04   -0.217E-04    0.737E-01    0.274E-01    0.141E+00    0.347E-01    0.548E-02    0.653E-02    0.280E-02    0.369E-03    0.356E-03    1.89    0.170E-04    0.110E-02
  0.0040   50.00   -0.325E+00   -0.458E-04   -0.221E-04    0.777E-01    0.336E-01    0.164E+00    0.262E-01    0.440E-02    0.854E-02    0.370E-02    0.513E-03    0.331E-03    2.16    0.291E-05    0.802E-03
  0.0040   60.00   -0.345E+00   -0.461E-04   -0.226E-04    0.779E-01    0.348E-01    0.183E+00    0.233E-01    0.449E-02    0.913E-02    0.401E-02    0.555E-03    0.313E-03    2.26    0.105E-05    0.848E-03
  0.0040   80.00   -0.371E+00   -0.463E-04   -0.233E-04    0.745E-01    0.352E-01    0.211E+00    0.214E-01    0.498E-02    0.991E-02    0.449E-02    0.639E-03    0.586E-03    2.44   -0.112E-06    0.854E-03
  0.0040  100.00   -0.384E+00   -0.461E-04   -0.237E-04    0.723E-01    0.351E-01    0.225E+00    0.198E-01    0.529E-02    0.103E-01    0.472E-02    0.676E-03    0.906E-03    2.59   -0.313E-06    0.836E-03
  0.0080   11.00   -0.124E+00   -0.417E-04   -0.785E-05    0.109E+00    0.348E-02    0.478E-02    0.597E-02    0.428E-03    0.155E-02    0.457E-03   -0.667E-04    0.499E-03    1.40    0.210E-04    0.105E-02
  0.0080   12.00   -0.135E+00   -0.420E-04   -0.875E-05    0.107E+00    0.496E-02    0.989E-02    0.428E-02    0.522E-03    0.451E-02    0.280E-02    0.219E-03    0.606E-03    1.45    0.205E-04    0.114E-02
  0.0080   13.00   -0.146E+00   -0.423E-04   -0.950E-05    0.103E+00    0.809E-02    0.155E-01    0.281E-02    0.103E-02    0.565E-02    0.202E-02    0.147E-03    0.481E-02    1.50    0.202E-04    0.110E-02
  0.0080   14.00   -0.155E+00   -0.425E-04   -0.102E-04    0.101E+00    0.101E-01    0.224E-01    0.284E-02    0.245E-02    0.660E-02    0.202E-02    0.159E-03    0.452E-02    1.55    0.199E-04    0.105E-02
  0.0080   15.00   -0.163E+00   -0.427E-04   -0.108E-04    0.994E-01    0.119E-01    0.273E-01    0.391E-02    0.318E-02    0.721E-02    0.224E-02    0.192E-03    0.499E-02    1.60    0.195E-04    0.102E-02
  0.0080   16.00   -0.173E+00   -0.429E-04   -0.114E-04    0.973E-01    0.140E-01    0.338E-01    0.863E-02    0.309E-02    0.788E-02    0.257E-02    0.214E-03    0.330E-02    1.62    0.203E-04    0.961E-03
  0.0080   17.00   -0.183E+00   -0.432E-04   -0.117E-04    0.955E-01    0.141E-01    0.391E-01    0.142E-01    0.390E-02    0.722E-02    0.239E-02    0.217E-03    0.341E-02    1.64    0.192E-04    0.926E-03
  0.0080   20.00   -0.207E+00   -0.437E-04   -0.130E-04    0.882E-01    0.149E-01    0.569E-01    0.281E-01    0.613E-02    0.611E-02    0.240E-02    0.211E-03    0.783E-03    1.71    0.182E-04    0.818E-03
  0.0080   25.00   -0.468E+00   -0.446E-04   -0.145E-04    0.767E-01    0.192E-01    0.900E-01    0.350E-01    0.533E-02    0.697E-02    0.248E-02    0.209E-03    0.175E-02    1.66    0.393E-04    0.104E-02
  0.0080   30.00   -0.470E+00   -0.448E-04   -0.152E-04    0.715E-01    0.249E-01    0.114E+00    0.264E-01    0.593E-02    0.102E-01    0.376E-02    0.367E-03    0.877E-03    1.87    0.208E-04    0.114E-02
  0.0080   35.00   -0.355E+00   -0.453E-04   -0.159E-04    0.688E-01    0.253E-01    0.130E+00    0.431E-01    0.662E-02    0.532E-02    0.201E-02    0.140E-03    0.554E-03    1.81    0.288E-04    0.173E-02
  0.0080   40.00   -0.343E+00   -0.455E-04   -0.164E-04    0.761E-01    0.326E-01    0.139E+00    0.365E-01    0.571E-02    0.648E-02    0.260E-02    0.250E-03    0.715E-03    1.93    0.198E-04    0.174E-02
  0.0080   50.00   -0.327E+00   -0.457E-04   -0.171E-04    0.843E-01    0.385E-01    0.156E+00    0.280E-01    0.473E-02    0.822E-02    0.333E-02    0.355E-03    0.663E-03    2.16    0.581E-05    0.160E-02
  0.0080   60.00   -0.347E+00   -0.460E-04   -0.177E-04    0.875E-01    0.400E-01    0.172E+00    0.245E-01    0.470E-02    0.880E-02    0.358E-02    0.384E-03    0.629E-03    2.27    0.211E-05    0.169E-02
  0.0080   80.00   -0.372E+00   -0.460E-04   -0.189E-04    0.865E-01    0.398E-01    0.194E+00    0.234E-01    0.539E-02    0.960E-02    0.409E-02    0.486E-03    0.117E-02    2.44   -0.224E-06    0.171E-02
  0.0080  100.00   -0.380E+00   -0.454E-04   -0.194E-04    0.837E-01    0.393E-01    0.205E+00    0.220E-01    0.582E-02    0.100E-01    0.429E-02    0.519E-03    0.182E-02    2.56   -0.630E-06    0.168E-02
  0.0200   11.00   -0.149E+00   -0.410E-04    0.141E-04    0.119E+00    0.465E-02    0.120E-01    0.745E-02    0.102E-02    0.332E-02    0.739E-03   -0.222E-03    0.125E-02    1.50    0.528E-04    0.264E-02
  0.0200   12.00   -0.164E+00   -0.414E-04    0.125E-04    0.117E+00    0.771E-02    0.162E-01    0.527E-02    0.149E-03    0.830E-02    0.585E-02    0.370E-03    0.151E-02    1.52    0.516E-04    0.285E-02
  0.0200   13.00   -0.178E+00   -0.418E-04    0.111E-04    0.113E+00    0.116E-01    0.228E-01    0.337E-02    0.470E-03    0.908E-02    0.325E-02    0.863E-04    0.120E-01    1.53    0.506E-04    0.277E-02
  0.0200   14.00   -0.190E+00   -0.421E-04    0.995E-05    0.111E+00    0.128E-01    0.330E-01    0.494E-02    0.322E-02    0.968E-02    0.271E-02    0.274E-04    0.113E-01    1.56    0.499E-04    0.263E-02
  0.0200   15.00   -0.201E+00   -0.424E-04    0.892E-05    0.108E+00    0.140E-01    0.390E-01    0.893E-02    0.434E-02    0.973E-02    0.278E-02    0.315E-04    0.125E-01    1.58    0.487E-04    0.255E-02
  0.0200   16.00   -0.211E+00   -0.427E-04    0.765E-05    0.105E+00    0.175E-01    0.451E-01    0.150E-01    0.317E-02    0.113E-01    0.356E-02    0.775E-04    0.826E-02    1.60    0.508E-04    0.240E-02
