#    Z       m        H              D           He3            He4          C12         C13P          N14P         O16               Mrem     C13           N14
  0.0200    7.00   -0.436E-01   -0.407E-04   -0.246E-04    0.363E-01   -0.627E-03    0.166E-03    0.966E-02    -0.843E-03          1.07    0.574E-05    0.157E-03
  0.0200    8.00   -0.479E-01   -0.411E-04   -0.248E-04    0.388E-01   -0.769E-03    0.171E-03    0.107E-01    -0.115E-02          1.15    0.652E-05    0.167E-03
  0.0500    0.80   -0.307E-01   -0.960E-05   -0.580E-05   -0.618E-02   -0.150E-02    0.000E+00    0.000E+00    -0.249E-02          0.64   -0.142E-04   -0.522E-03
  0.0500    0.90   -0.597E-02   -0.192E-04   -0.116E-04    0.709E-02   -0.112E-02    0.000E+00    0.000E+00     0.267E-03          0.54    0.126E-05    0.444E-04
  0.0500    1.00   -0.257E-01   -0.269E-04   -0.162E-04    0.217E-01   -0.260E-03    0.000E+00    0.000E+00     0.286E-02          0.44    0.417E-04    0.560E-03
  0.0500    1.30   -0.884E-02   -0.251E-04   -0.152E-04    0.577E-02   -0.168E-02    0.000E+00    0.000E+00     0.292E-03          0.62   -0.238E-06    0.385E-04
  0.0500    1.50   -0.271E-02   -0.294E-04   -0.178E-04    0.606E-02   -0.255E-02    0.000E+00    0.000E+00     0.880E-03          0.58    0.494E-05    0.147E-03
  0.0500    1.70   -0.255E-02   -0.325E-04   -0.196E-04    0.580E-02   -0.299E-02    0.000E+00    0.000E+00     0.110E-02          0.55    0.932E-05    0.222E-03
  0.0500    2.00   -0.109E-01   -0.341E-04   -0.206E-04    0.795E-02   -0.251E-02    0.000E+00    0.000E+00     0.935E-03          0.58    0.977E-05    0.227E-03
  0.0500    2.50    0.116E+00   -0.365E-04   -0.220E-04    0.144E-01   -0.780E-03    0.000E+00    0.000E+00     0.940E-03          0.60    0.114E-04    0.266E-03
  0.0500    3.00   -0.319E-01   -0.384E-04   -0.232E-04    0.226E-01    0.633E-03    0.189E-03    0.360E-02     0.113E-02          0.60    0.181E-04    0.427E-03
  0.0500    3.50   -0.311E-01   -0.395E-04   -0.239E-04    0.266E-01    0.271E-02    0.195E-03    0.377E-02     0.794E-03          0.62    0.135E-04    0.334E-03
  0.0500    4.00   -0.387E-01   -0.406E-04   -0.245E-04    0.310E-01    0.481E-02    0.200E-03    0.390E-02     0.357E-03          0.62    0.997E-05    0.251E-03
  0.0500    4.50   -0.412E-01   -0.410E-04   -0.247E-04    0.350E-01    0.629E-02    0.185E-03    0.258E-02     0.298E-03          0.66    0.107E-04    0.276E-03
  0.0500    5.00   -0.472E-01   -0.413E-04   -0.249E-04    0.382E-01    0.771E-02    0.173E-03    0.157E-02     0.190E-03          0.70    0.118E-04    0.275E-03
  0.0500    6.00   -0.453E-01   -0.414E-04   -0.250E-04    0.385E-01    0.284E-02    0.253E-03    0.773E-02     0.105E-03          0.82    0.183E-04    0.426E-03
  0.0500    7.00   -0.463E-01   -0.416E-04   -0.251E-04    0.368E-01   -0.208E-02    0.310E-03    0.121E-01    -0.215E-03          0.93    0.232E-04    0.544E-03
  0.0500    8.00   -0.529E-01   -0.416E-04   -0.252E-04    0.413E-01   -0.208E-02    0.291E-03    0.125E-01    -0.263E-04          1.06    0.395E-04    0.789E-03
