#    Z       m        H              D           He3            He4          C12           O16            Ne20       Mg24          Si28        S32           Ca40         Fe56         Mrem     C13s           N14s
  0.0080   13.00   -0.153E+00   -0.430E-04    0.919E-05    0.104E+00    0.746E-02       0.188E-01    0.331E-02    0.679E-03    0.464E-02    0.205E-02    0.218E-03    0.348E-03      1.36    0.218E-04    0.101E-02
  0.0080   15.00   -0.177E+00   -0.433E-04    0.764E-05    0.107E+00    0.878E-02       0.367E-01    0.578E-02    0.950E-03    0.542E-02    0.269E-02    0.362E-03    0.343E-03      1.47    0.212E-04    0.102E-02
  0.0080   18.00   -0.210E+00   -0.434E-04    0.548E-05    0.111E+00    0.119E-01       0.547E-01    0.128E-01    0.329E-02    0.703E-02    0.255E-02    0.272E-03    0.332E-03      1.71    0.176E-04    0.863E-03
  0.0080   19.00   -0.220E+00   -0.433E-04    0.467E-05    0.103E+00    0.120E-01       0.632E-01    0.779E-02    0.225E-02    0.103E-01    0.466E-02    0.492E-03    0.325E-03      1.85    0.159E-04    0.813E-03
  0.0080   20.00   -0.224E+00   -0.432E-04    0.460E-05    0.102E+00    0.107E-01       0.799E-01    0.495E-02    0.163E-02    0.124E-01    0.662E-02    0.716E-03    0.319E-03      2.00    0.149E-04    0.809E-03
  0.0080   22.00   -0.244E+00   -0.434E-04    0.389E-05    0.104E+00    0.960E-02       0.973E-01    0.215E-02    0.543E-03    0.151E-01    0.795E-02    0.810E-03    0.312E-03      2.09    0.136E-04    0.834E-03
  0.0080   25.00   -0.274E+00   -0.441E-04    0.246E-05    0.106E+00    0.103E-01       0.118E+00    0.644E-02    0.335E-03    0.145E-01    0.744E-02    0.653E-03    0.306E-03      2.02    0.118E-04    0.880E-03
  0.0080   30.00   -0.314E+00   -0.448E-04    0.690E-06    0.108E+00    0.885E-02       0.149E+00    0.187E-01    0.997E-02    0.791E-02    0.230E-02    0.251E-03    0.293E-03      1.99    0.980E-05    0.986E-03
  0.0080   35.00   -0.326E+00   -0.440E-04    0.743E-08    0.106E+00    0.830E-02       0.162E+00    0.237E-01    0.870E-02    0.290E-02    0.270E-04   -0.129E-03    0.275E-03      2.94    0.792E-05    0.103E-02
  0.0080   40.00   -0.330E+00   -0.423E-04   -0.910E-06    0.115E+00    0.862E-02       0.151E+00    0.347E-01    0.578E-02    0.719E-03   -0.992E-04   -0.124E-03    0.246E-03      4.78    0.611E-05    0.105E-02
  0.0080   60.00   -0.344E+00   -0.382E-04   -0.310E-05    0.135E+00    0.934E-02       0.126E+00    0.602E-01   -0.539E-03    0.000E+00    0.000E+00   -0.115E-03    0.181E-03     12.20    0.187E-05    0.110E-02
  0.0080  100.00   -0.354E+00   -0.351E-04   -0.480E-05    0.152E+00    0.992E-02       0.105E+00    0.807E-01    0.000E+00    0.000E+00    0.000E+00   -0.107E-03    0.128E-03     26.90   -0.152E-05    0.114E-02
  0.0200   11.00   -0.111E+00   -0.422E-04    0.657E-05    0.963E-01    0.220E-02       0.480E-02    0.284E-02   -0.647E-03    0.152E-02    0.311E-03   -0.232E-03    0.956E-03      1.32    0.625E-04    0.237E-02
  0.0200   12.00   -0.130E+00   -0.427E-04    0.511E-05    0.969E-01    0.404E-02       0.985E-02    0.193E-01   -0.820E-03    0.711E-02    0.573E-02    0.844E-03    0.963E-03      1.32    0.598E-04    0.202E-02
  0.0200   13.00   -0.139E+00   -0.426E-04    0.456E-05    0.102E+00    0.611E-02       0.133E-01    0.343E-02   -0.239E-03    0.404E-02    0.142E-02   -0.774E-04    0.931E-03      1.46    0.626E-04    0.262E-02
  0.0200   15.00   -0.172E+00   -0.434E-04    0.256E-05    0.997E-01    0.802E-02       0.376E-01    0.740E-02    0.251E-03    0.686E-02    0.364E-02    0.371E-03    0.926E-03      1.43    0.604E-04    0.260E-02
  0.0200   18.00   -0.202E+00   -0.433E-04    0.947E-06    0.100E+00    0.111E-01       0.550E-01    0.154E-01    0.154E-02    0.714E-02    0.245E-02    0.180E-04    0.896E-03      1.76    0.495E-04    0.216E-02
  0.0200   19.00   -0.205E+00   -0.430E-04    0.548E-06    0.928E-01    0.123E-01       0.676E-01    0.558E-02   -0.193E-03    0.141E-01    0.621E-02    0.352E-03    0.878E-03      1.98    0.446E-04    0.202E-02
  0.0200   20.00   -0.220E+00   -0.431E-04    0.287E-06    0.885E-01    0.796E-02       0.893E-01    0.525E-02    0.491E-04    0.139E-01    0.702E-02    0.356E-03    0.861E-03      2.06    0.411E-04    0.200E-02
  0.0200   22.00   -0.240E+00   -0.436E-04   -0.701E-06    0.908E-01    0.823E-02       0.100E+00    0.319E-02    0.356E-03    0.157E-01    0.723E-02    0.423E-03    0.841E-03      2.02    0.375E-04    0.206E-02
  0.0200   25.00   -0.270E+00   -0.440E-04   -0.144E-05    0.925E-01    0.101E-01       0.122E+00    0.158E-01   -0.113E-02    0.121E-01    0.504E-02    0.301E-03    0.821E-03      2.07    0.320E-04    0.216E-02
  0.0200   30.00   -0.309E+00   -0.449E-04   -0.319E-05    0.886E-01    0.686E-02       0.155E+00    0.144E-01    0.782E-02    0.100E-01    0.272E-02    0.692E-04    0.787E-03      1.94    0.265E-04    0.244E-02
  0.0200   35.00   -0.335E+00   -0.452E-04   -0.472E-05    0.801E-01    0.632E-02       0.158E+00    0.254E-01    0.661E-02    0.271E-02   -0.132E-03   -0.335E-03    0.738E-03      2.03    0.205E-04    0.254E-02
  0.0200   40.00   -0.331E+00   -0.415E-04   -0.570E-05    0.867E-01    0.648E-02       0.143E+00    0.310E-01    0.429E-02    0.916E-03   -0.274E-03   -0.308E-03    0.658E-03      5.45    0.161E-04    0.257E-02
  0.0200   60.00   -0.322E+00   -0.327E-04   -0.800E-05    0.102E+00    0.687E-02       0.109E+00    0.442E-01   -0.112E-02    0.000E+00    0.000E+00   -0.245E-03    0.472E-03     19.10    0.571E-05    0.267E-02
  0.0200  100.00   -0.314E+00   -0.257E-04   -0.982E-05    0.114E+00    0.718E-02       0.809E-01    0.546E-01    0.000E+00    0.000E+00    0.000E+00   -0.194E-03    0.324E-03     46.50   -0.254E-05    0.274E-02
  0.0500   11.00   -0.999E-01   -0.432E-04   -0.658E-05    0.841E-01   -0.440E-02       0.136E-01    0.991E-02   -0.157E-02    0.409E-02    0.891E-03   -0.649E-03    0.246E-02      1.09    0.164E-03    0.480E-02
  0.0500   12.00   -0.112E+00   -0.431E-04   -0.789E-05    0.840E-01   -0.126E-02       0.719E-02    0.499E-01   -0.273E-02    0.148E-01    0.135E-01    0.191E-02    0.248E-02      1.22    0.156E-03    0.514E-02
  0.0500   13.00   -0.107E+00   -0.417E-04   -0.703E-05    0.973E-01    0.287E-02      -0.565E-04    0.374E-02   -0.247E-02    0.254E-02   -0.127E-03   -0.798E-03    0.239E-02      1.71    0.165E-03    0.669E-02
