#0) name												
#1) HI mass												
#2) Uncertainty in %												
#3) metallicity 12 + log(O/H)												
#4) H2mass,MW CO												
#5) H2mass, Z dependent CO												
#6) atomic weight												
#7) log Dust mass (graphite)												
#8) Uncertainty in %												
#9) log Dust mass (anorphous carbon)												
#10) log Stellar mass												
#11) log SFR
#12) Unknown
#13) Hubble type
#14) Category: 1)E	2)S0	3)Sa-Sab	4)Sb-Sc		5)Scd-Sdm	6)Sm-Irr	7)WR	8)BCD	
#15) log(B/D) based on Graham et al. (2008)
						
NGC7793	8.75E+08	16.08	8.31	0	0	1.38	7.24	13.41	6.79	9.72	0.57	0.08	SAd	5	-1.06
#G11												
M83	5.13E+09	5	8.62	8.65E+08	1.19E+09	1.39	7.041392685	8.14	0	0	0	0.033986365		SAB(s)c	4	-1.06
NGC1808	1.78E+09	9.46	9.1	1.75E+09	2.64E+08	1.44	7.404833717	34.24	0	0	0	0.127881944	(R)SAB(s)a	3	-0.34
NGC7552	4.79E+09	16.08	8.35	0	0	1.38	7.859738566	16.10	0	0	0	0.06483222	(R')SB(s)ab	3	-0.54
M82	8.91E+08	10.29	8.51	4.43E+08	1.01E+09	1.39	6.835690572	33.02	0	0	0	0.123916944		I0	6 -1.39 
NGC1068	2.24E+09	18.35	9	7.26E+09	1.74E+09	1.43	8.442479769	36.05	0	0	0	0.133698546	(R)SA(rs)b	4	-0.6
NGC0891	7.59E+09	16.08	8.9	5.75E+09	2.19E+09	1.42	7.766412847	11.84	0	0	0	0.048597158	SA(s)b	4	-0.6
#MCG0204025	1.74E+09	16.08	8.52	0	0	1.39	8.004321374	47.08	0	0	0	0.167553621
NGC7469	1.51E+09	16.08	8.7	6.28E+09	6.00E+09	1.4	8.190331698	19.16	0	0	0	0.076130495	(R')SAB(rs)a	3	-0.34
#NGC5256	0	0	8.53	9.92E+09	2.07E+10	1.39	8.303196057	62.93	0	0	0	0.212001058	pec	
NGC5953	5.75E+08	16.08	8.73	1.62E+09	1.34E+09	1.4	7.352182518	18.90	0	0	0	0.075181855		SAa	3	-0.34
#M51	5.01E+09	5.63	8.55	3.95E+09	7.53E+09	1.39	8.572871602	21.82	0	0	0	0.085718595
NGC3995	6.17E+09	16.08	8.66	0	0	1.4	7.759667845	23.47	0	0	0	0.091561448	SAmpec	6	-1.57
NGC3994	2.82E+09	16.08	8.61	0	0	1.39	7.721810615	34.81	0	0	0	0.129722109	SA(r)cpec	4	-1.06
NGC6052	3.80E+09	16.08	8.65	3.00E+09	3.61E+09	1.4	7.766412847	32.58	0	0	0	0.122478015	Sc	4	-1.06
NGC1222	1.20E+09	16.08	8.57	7.23E+08	1.26E+09	1.39	7.123851641	26.71	0	0	0	0.102810891	S0	2	-0.31
NGC7674	1.07E+10	16.08	8.14	6.34E+09	7.99E+10	1.38	7.992553518	29.69	0	0	0	0.11290649	SA(r)bc	4	-0.82
NGC4670	1.66E+08	16.08	8.3	9.00E+06	5.42E+07	1.38	6.053078444	0	0	0	0	0.083215862	SB(s)0/a	2	-0.31
